date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,stocare,sold,an,luna,zi,ora,minut,zi_saptamana,raport_pret_calitate
2025-08-31 16:55:27,582,5030,729,483,1348,526,4191,369,46,107,838,2025,8,31,16,55,sunday,0.8332007952286282
2025-08-31 07:25:32,612,4714,943,478,1348,242,3816,48,45,96,898,2025,8,31,7,25,sunday,0.8095036062791684
2025-08-30 21:56:13,606,6359,1873,512,1344,650,5102,-2,47,71,1257,2025,8,30,21,56,saturday,0.8023274099701211
2025-08-30 12:25:36,606,4494,639,477,1345,41,4580,1422,47,0,-85,2025,8,30,12,25,saturday,1.0191366266132622
2025-08-30 02:25:29,607,5123,874,1307,1346,110,4289,-3,45,0,833,2025,8,30,2,25,saturday,0.8372047628342768
2025-08-29 16:56:31,778,5433,737,1088,1335,531,5776,1226,49,28,-343,2025,8,29,16,56,friday,1.0631327075280692
2025-08-29 07:25:19,760,5888,1427,1338,1350,379,5520,112,48,103,367,2025,8,29,7,25,friday,0.9375
2025-08-28 21:55:11,811,6869,1971,1279,1337,598,6060,-3,57,8,808,2025,8,28,21,55,thursday,0.8822244868248653
2025-08-28 12:25:31,792,4743,508,1100,1290,261,5797,1785,58,0,-1053,2025,8,28,12,25,thursday,1.2222222222222223
2025-08-28 02:55:22,803,5052,873,1314,1341,141,4523,-4,54,0,529,2025,8,28,2,55,thursday,0.8952889944576405
2025-08-27 17:25:07,749,5647,955,1210,1334,615,5849,927,56,0,-202,2025,8,27,17,25,wednesday,1.035771205950062
2025-08-27 07:55:29,774,5866,1498,1318,1344,44,5477,320,54,122,388,2025,8,27,7,55,wednesday,0.9336856460961472
2025-08-26 22:25:36,757,6355,1784,1375,1330,778,6076,-3,53,0,279,2025,8,26,22,25,tuesday,0.9560975609756097
2025-08-26 12:55:34,707,4658,448,995,1328,155,5433,1736,54,7,-775,2025,8,26,12,55,tuesday,1.1663804207814512
2025-08-26 03:25:23,755,4962,724,1350,1344,213,4449,-4,53,0,512,2025,8,26,3,25,tuesday,0.8966142684401451
2025-08-25 17:40:18,724,5786,810,1040,1333,397,5099,738,53,0,687,2025,8,25,17,40,monday,0.8812651227099896
2025-08-25 08:08:07,613,5742,1378,1355,1338,220,5383,327,52,97,358,2025,8,25,8,8,monday,0.9374782305816789
2025-08-24 22:38:39,511,5479,1424,996,1337,1367,5678,-4,45,0,-198,2025,8,24,22,38,sunday,1.0363204964409565
2025-08-24 12:59:37,571,3672,525,473,1335,595,4585,1037,39,1,-913,2025,8,24,12,59,sunday,1.2486383442265796
2025-08-24 03:30:33,608,4689,854,544,1333,261,3668,-4,38,31,1020,2025,8,24,3,30,sunday,0.782256344636383
